date;account_display;property_display;sessions;transactions;purchaseRevenue;conversion_rate;sessions_prev;transactions_prev;purchaseRevenue_prev;conversion_rate_prev;links
2025-10-19;Banka Panka;Banka Panka – GA4;2418.0;19.0;7540.369997;0.7857733664185277;1120.0;3.0;764.759999;0.2678571428571428;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-20;Banka Panka;Banka Panka – GA4;2518.0;14.0;5681.990001;0.5559968228752978;1013.0;11.0;2870.940002;1.085883514313919;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-21;Banka Panka;Banka Panka – GA4;2406.0;18.0;6786.030000000001;0.7481296758104738;1231.0;11.0;3473.970005;0.8935824532900082;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-22;Banka Panka;Banka Panka – GA4;2337.0;17.0;7662.699982;0.727428326914848;1049.0;11.0;3779.280001;1.0486177311725453;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-23;Banka Panka;Banka Panka – GA4;2218.0;20.0;8801.330001;0.9017132551848512;1529.0;10.0;4431.740011;0.6540222367560496;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-24;Banka Panka;Banka Panka – GA4;2109.0;21.0;9745.400006;0.995732574679943;1397.0;18.0;6034.580003;1.288475304223336;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-25;Banka Panka;Banka Panka – GA4;2301.0;23.0;9472.97;0.9995654063450672;1610.0;14.0;3434.050009;0.8695652173913043;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-26;Banka Panka;Banka Panka – GA4;2636.0;19.0;8156.969999;0.7207890743550834;1376.0;6.0;2107.790003;0.436046511627907;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-27;Banka Panka;Banka Panka – GA4;2524.0;19.0;10204.569992;0.7527733755942948;1658.0;16.0;7975.620007;0.965018094089264;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-28;Banka Panka;Banka Panka – GA4;2166.0;17.0;7791.660008;0.7848568790397045;1647.0;13.0;5016.860003;0.7893139040680024;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-29;Banka Panka;Banka Panka – GA4;2306.0;15.0;8419.139991;0.6504770164787511;1585.0;19.0;5315.479997;1.1987381703470033;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-30;Banka Panka;Banka Panka – GA4;1942.0;14.0;6084.879997;0.7209062821833162;1555.0;14.0;4784.010002;0.9003215434083601;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-31;Banka Panka;Banka Panka – GA4;2122.0;12.0;8286.380008;0.5655042412818096;1624.0;19.0;9209.799993;1.1699507389162562;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-11-01;Banka Panka;Banka Panka – GA4;2209.0;18.0;7467.279999;0.8148483476686283;1576.0;10.0;3148.510006;0.6345177664974619;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-11-02;Banka Panka;Banka Panka – GA4;2837.0;15.0;7225.830001;0.5287275290800141;1591.0;22.0;9579.440002;1.3827781269641737;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
