date;account_display;property_display;sessions;transactions;purchaseRevenue;conversion_rate;sessions_prev;transactions_prev;purchaseRevenue_prev;conversion_rate_prev;links
2025-10-22;Bambaro [Conta];Bambaro - Móveis de Luxo;33.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-23;Bambaro [Conta];Bambaro - Móveis de Luxo;38.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-24;Bambaro [Conta];Bambaro - Móveis de Luxo;21.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-25;Bambaro [Conta];Bambaro - Móveis de Luxo;20.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-26;Bambaro [Conta];Bambaro - Móveis de Luxo;11.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-27;Bambaro [Conta];Bambaro - Móveis de Luxo;34.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-28;Bambaro [Conta];Bambaro - Móveis de Luxo;24.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-29;Bambaro [Conta];Bambaro - Móveis de Luxo;27.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-30;Bambaro [Conta];Bambaro - Móveis de Luxo;37.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-31;Bambaro [Conta];Bambaro - Móveis de Luxo;1.0;0.0;0.0;0.0;;;;;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-02;Banka Panka;Banka Panka – GA4;2072.0;22.0;8259.070007;1.0617760617760617;1049.0;11.0;3779.280001;1.0486177311725453;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-03;Banka Panka;Banka Panka – GA4;1972.0;13.0;5809.570002;0.6592292089249493;1529.0;10.0;4431.740011;0.6540222367560496;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-04;Banka Panka;Banka Panka – GA4;1951.0;16.0;7334.339995;0.8200922603792926;1397.0;18.0;6034.580003;1.288475304223336;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-05;Banka Panka;Banka Panka – GA4;2809.0;23.0;9179.250004;0.8187967248131008;1610.0;14.0;3434.050009;0.8695652173913043;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-06;Banka Panka;Banka Panka – GA4;2565.0;9.0;3860.090001;0.3508771929824561;1376.0;6.0;2107.790003;0.436046511627907;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-07;Banka Panka;Banka Panka – GA4;1993.0;17.0;10013.479997;0.8529854490717512;1658.0;16.0;7975.620007;0.965018094089264;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-08;Banka Panka;Banka Panka – GA4;2055.0;15.0;6729.319995;0.7299270072992701;1647.0;13.0;5016.860003;0.7893139040680024;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-09;Banka Panka;Banka Panka – GA4;2118.0;10.0;3965.100009;0.4721435316336166;1585.0;19.0;5315.479997;1.1987381703470033;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-10;Banka Panka;Banka Panka – GA4;1899.0;17.0;7455.840008;0.8952080042127435;1555.0;14.0;4784.010002;0.9003215434083601;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-11;Banka Panka;Banka Panka – GA4;2016.0;13.0;4411.860001;0.6448412698412698;1624.0;19.0;9209.799993;1.1699507389162562;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-12;Banka Panka;Banka Panka – GA4;2200.0;21.0;16420.719997;0.9545454545454546;1576.0;10.0;3148.510006;0.6345177664974619;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-13;Banka Panka;Banka Panka – GA4;2209.0;14.0;4773.460001;0.6337709370755998;1591.0;22.0;9579.440002;1.3827781269641737;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-14;Banka Panka;Banka Panka – GA4;2007.0;22.0;7975.439989;1.096163428001993;1697.0;16.0;5538.37002;0.9428403064230996;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-15;Banka Panka;Banka Panka – GA4;2279.0;24.0;9747.55999;1.0530934620447563;1691.0;17.0;6482.229993;1.0053222945002958;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-16;Banka Panka;Banka Panka – GA4;2155.0;24.0;9634.690003;1.1136890951276102;1785.0;18.0;10448.090007;1.0084033613445378;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-17;Banka Panka;Banka Panka – GA4;2340.0;18.0;9772.490001;0.7692307692307693;1906.0;21.0;5613.060003;1.1017838405036726;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-18;Banka Panka;Banka Panka – GA4;2412.0;13.0;5596.670008;0.538971807628524;1848.0;12.0;3521.829997;0.6493506493506493;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-19;Banka Panka;Banka Panka – GA4;2418.0;19.0;7540.369997;0.7857733664185277;1794.0;15.0;6961.730004;0.8361204013377926;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-20;Banka Panka;Banka Panka – GA4;2518.0;14.0;5681.990001;0.5559968228752978;1701.0;23.0;9478.470015;1.352145796590241;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-21;Banka Panka;Banka Panka – GA4;2406.0;18.0;6786.030000000001;0.7481296758104738;2246.0;18.0;7029.55001;0.8014247551202136;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-22;Banka Panka;Banka Panka – GA4;2337.0;17.0;7662.699982;0.727428326914848;1909.0;15.0;6813.580004;0.7857517024620221;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-23;Banka Panka;Banka Panka – GA4;2218.0;20.0;8801.330001;0.9017132551848512;1906.0;13.0;8500.920002;0.6820566631689402;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-24;Banka Panka;Banka Panka – GA4;2109.0;21.0;9745.400006;0.995732574679943;1702.0;13.0;4989.119998;0.763807285546416;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-25;Banka Panka;Banka Panka – GA4;2301.0;23.0;9472.97;0.9995654063450672;1523.0;13.0;5610.549993;0.8535784635587657;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-26;Banka Panka;Banka Panka – GA4;2636.0;19.0;8156.969999;0.7207890743550834;1440.0;18.0;7623.959989;1.25;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-27;Banka Panka;Banka Panka – GA4;2524.0;19.0;10204.569992;0.7527733755942948;1502.0;14.0;6095.870008;0.9320905459387484;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-28;Banka Panka;Banka Panka – GA4;2166.0;17.0;7791.660008;0.7848568790397045;1735.0;11.0;5836.120004;0.6340057636887608;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-29;Banka Panka;Banka Panka – GA4;2306.0;15.0;8419.139991;0.6504770164787511;1801.0;17.0;8576.169995;0.9439200444197668;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-30;Banka Panka;Banka Panka – GA4;1855.0;12.0;5435.359995;0.646900269541779;1930.0;23.0;13752.479985;1.1917098445595855;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-31;Banka Panka;Banka Panka – GA4;80.0;0.0;0.0;0.0;2045.0;22.0;15475.360006;1.075794621026895;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-02;Bebelline;Bebelline;14.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-03;Bebelline;Bebelline;16.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-04;Bebelline;Bebelline;16.0;0.0;0.0;0.0;25.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-05;Bebelline;Bebelline;4.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-06;Bebelline;Bebelline;32.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-07;Bebelline;Bebelline;34.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-08;Bebelline;Bebelline;42.0;1.0;91.470002;2.380952380952381;40.0;0.0;0.0;0.0;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
2025-10-09;Bebelline;Bebelline;16.0;0.0;0.0;0.0;31.0;1.0;81.060002;3.225806451612903;"https://analytics.google.com/analytics/web/#/p;reports/reportinghub?params=_u..nav%3Dmaui;explorer-table.plotKeys=%5B%5D&_r.drilldown=analytics.dateHourHourDay%3A"
